Applications,Part Number,Package, Reverse Working  Voltage (V), Capacitance (pF), Leakage Current (µA), Peak Pulse Current  8/20 µs (*10/1000 µs)  acc. IEC 61000-4-5  (A), Peak Pulse  Power 8/20 µs  acc. IEC 61000- 4-5 (W), Protectable  Lines, ESD Immunity  acc. IEC 61000-4- 2(kV), Max. Operating  Junction Temperature  (°C), AEC-Q101  Qualified
"Audio Applications,Display Port,DVI,Firewire,HDMI1.3,HDMI1.4,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05L1-DD1","LLP1006-2M","5.5","0.33","0.05","2","34","1","± 15","125","No"
"Audio Applications,Display Port,DVI,Firewire,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05M1-02V","SOD-523","5.5","0.7","0.1","4.5","70","1","± 18","150","Yes"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,HDMI1.4,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05M2-HT5","DFN1110-3A","5.5","0.37","0.1","3.4","60","2","± 20","150","Yes"
"Audio Applications,Display Port,DVI,Firewire,HDMI1.3,HDMI1.4,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05N1-DD1","DFN1006-2B","5.5","0.36","0.1","4","90","1","± 16","150","Yes"
"Audio Applications,Display Port,DVI,Firewire,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS05N1-HD1","DFN1006-2A","5.5","0.7","0.1","4","60","1","± 16","150","Yes"
"Audio Applications,Flex-Bus,RS232,USB1.0,USB2.0,VGA","VBUS54CV-HSF","LLP75-6L","5.5","1.2","0.1","11","242","4","± 30","125","No"
"Audio Applications,Display Port,DVI,Firewire,Flex-Bus,HDMI1.3,RS232,Thunderbolt,USB1.0,USB2.0,USB3.0,VGA","VBUS54DD-HS4","LLP1010-6M","5.5","0.8","0.1","3","57","4","± 15","125","No"
"Audio Applications,LIN-Bus,RS232","VCAN16A2-03G","SOT-323","16","16.7","0.05","5","140","2","± 30","175","Yes"
"Audio Applications,LIN-Bus,RS232","VCAN16A2-03S","SOT-23","16","16.7","0.05","5","145","2","± 30","150","Yes"
"Audio Applications,Flex-Bus,LIN-Bus,RS232","VCAN18A2-03G","SOT-323","18","14.7","0.05","3.6","120","2","± 30","150","Yes"
"Audio Applications,Flex-Bus,LIN-Bus,RS232","VCAN18A2-03S","SOT-23","18","14.7","0.05","3.6","120","2","± 30","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN24A2-HT5","DFN1110-3A","24","7.8","0.05","2.5","100","2","± 30","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN26A2-03G","SOT-323","26.5","10","0.05","3","150","2","± 30","175","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN26A2-03S","SOT-23","26.5","10","0.05","3","150","2","± 30","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN26C2-03G","SOT-323","26.5","7.6","0.05","2.5","110","2","±30","175","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN33A2-03G","SOT-323","33","8.7","0.05","2.5","140","2","± 30","175","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN33A2-03S","SOT-23","33","8.7","0.05","2.7","150","2","± 30","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN33A2-HT5","DFN1110-3A","33","6","0.05","1.6","82","2","± 20","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN33C2-03G","SOT-323","33","6","0.05","2","120","2","± 30","175","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN36A2-03G","SOT-323","36","8","0.05","2.4","150","2","± 30","175","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN36A2-03S","SOT-23","36","8","0.05","2.4","150","2","± 30","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN36A2-HT5","DFN1110-3A","36","5.6","0.05","1.6","92","2","± 20","150","Yes"
"Audio Applications,CAN-Bus,Flex-Bus,LIN-Bus,RS232,USB1.0","VCAN36C2-03G","SOT-323","36","5.5","0.05","1.8","120","2","± 27","175","Yes"
"","VCUT03B1-DD1","LLP1006-2M","3.5","12.5","0.1","3.5","40","1","± 18","125","No"
"","VCUT03G1-SD0","CLP0603-2L","3.3","13","0.1","6","78","1","± 30","150","Yes"
"Audio Applications,RS232","VCUT0505B-HD1","LLP1006-2L","5","18","0.1","3.5","56","1","± 20","125","No"
"Audio Applications,RS232,USB1.0","VCUT05B1-DD1","LLP1006-2M","5.5","10","0.1","3","38","1","± 30","145","No"
