Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"uClamp0531P","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","5.00","145.00","18.00","13.00","6.00","30","30","4V - 5.5V",""
"uClamp0541Z","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","5.00","6.50","2.00","15.00","6.00","17","17","4V - 5.5V",""
"uClamp0544P","DFN2510-10","2.5 x 1.0 x 0.58","Unidirectional","General purpose ESD protection","4","5.00","4.50","2.00","12.50","6.00","15","20","4V - 5.5V",""
"uClamp0551ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","5.50","400.00","100.00","12.00","5.80","30","30","4V - 5.5V","VBUS"
"uClamp0554T","DFN0808-4","0.8 x 0.8 x 0.3","Array","General purpose ESD protection","4","5.00","4.50","2.00","12.50","6.00","15","17","4V - 5.5V",""
"uClamp0561P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","Low capacitance","1","5.00","800.00","80.00","15.00","6.00","30","30","4V - 5.5V","VBUS"
"uClamp0571P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","5.00","675.00","80.00","15.00","6.00","30","30","4V - 5.5V","VBUS"
"uClamp0581P","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","5.00","148.00","18.00","13.00","6.00","30","30","4V - 5.5V",""
"uClamp0581ZF","DFN0806-2","0.8 x 0.5 x 0.25","Unidirectional","General purpose ESD protection","1","5.00","260.00","60.00","10.00","5.80","30","30","4V - 5.5V",""
"uClamp0591ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","General purpose ESD protection","1","5.00","200.00","16.00","11.00","6.00","30","30","4V - 5.5V",""
"uClamp0601ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","6.30","337.00","25.00","9.30","6.40","30","30","6V - 12V","VBUS"
"uClamp0611ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","6.60","17.50","10.00","9.00","8.50","30","30","6V - 12V",""
"uClamp0701ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","7.30","360.00","25.00","8.50","7.40","30","30","6V - 12V","VBUS"
"uClamp0761ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","7.60","336.00","30.00","9.40","7.70","30","30","6V - 12V","VBUS"
"uClamp0801T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","General purpose ESD protection","1","8.00","4.50","1.50","17.00","9.50","15","20","6V - 12V",""
"uClamp0811ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","7.90","325.00","25.00","9.60","8.00","30","30","6V - 12V","VBUS"
"uClamp0841ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","8.20","300.00","50.00","11.30","8.30","30","30","6V - 12V","VBUS"
"uClamp0871P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","8.00","475.00","65.00","23.00","9.50","30","30","6V - 12V","VBUS"
"uClamp1002P","DFN1006-3","1.0 x 0.6 x 0.5","Array","General purpose ESD protection","2","11.00","80.00","0.00","12.00","17.40","30","30","6V - 12V",""
"uClamp1061P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","10.00","350.00","60.00","25.00","12.00","30","30","6V - 12V","VBUS"
"uClamp1071P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","10.00","350.00","60.00","25.00","12.00","30","30","6V - 12V","VBUS"
"uClamp1201H","SOD523","1.7 x 0.9 x 0.7","Unidirectional","General purpose ESD protection","1","12.00","60.00","8.00","25.00","13.30","15","20","6V - 12V",""
"uClamp1201P","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","12.00","60.00","8.00","25.00","13.30","15","20","6V - 12V",""
"uClamp1211P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","12.00","25.00","7.00","28.50","14.20","8","15","6V - 12V",""
"uClamp1211T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","General purpose ESD protection","1","12.00","3.00","1.00","27.00","13.30","12","18","6V - 12V",""
"uClamp1211Z","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","12.00","19.00","7.00","25.00","14.20","30","30","6V - 12V",""
"uClamp1221ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","12.00","23.50","15.00","19.00","13.00","30","30","6V - 12V",""
"uClamp1261P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","12.00","275.00","45.00","33.00","14.00","30","30","6V - 12V","VBUS"
"uClamp1271P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","12.00","275.00","45.00","30.00","14.00","30","30","6V - 12V","VBUS"
"uClamp1281ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","12.00","318.00","30.00","28.00","13.20","30","30","6V - 12V","VBUS"
"uClamp1291PW","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","12.00","75.00","10.00","20.80","13.30","30","30","6V - 12V",""
"uClamp1291ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","General purpose ESD protection","1","12.00","75.00","10.00","21.00","13.30","15","20","6V - 12V",""
"uClamp1291ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","12.00","344.00","30.00","21.50","12.70","30","30","6V - 12V","VBUS"
"uClamp1301ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","13.00","200.00","28.00","18.00","13.50","30","30","13V - 33V","VBUS"
"uClamp1501ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","15.00","205.00","25.00","18.50","16.50","30","30","13V - 33V","VBUS"
"uClamp1502P","DFN1006-3","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","2","15.00","3.60","12.00","27.50","16.50","30","30","13V - 33V","USB, VBUS"
"uClamp1511ZB","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","15.00","15.00","4.00","24.50","16.50","30","30","13V - 33V",""
"uClamp1511ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","15.00","60.00","30.00","22.00","17.00","30","30","13V - 33V","VBUS"
"uClamp1521ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","15.00","85.00","18.00","22.00","15.50","30","30","13V - 33V","VBUS"
"uClamp1561P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","15.00","220.00","40.00","40.00","17.50","30","30","13V - 33V","VBUS"
"uClamp1571P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","15.00","220.00","40.00","40.00","17.50","30","30","13V - 33V","VBUS"
"uClamp1871P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","18.00","225.00","35.00","45.00","20.00","30","30","13V - 33V","VBUS"
"uClamp2001ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","General purpose ESD protection","1","20.00","18.00","8.00","35.00","22.00","20","20","13V - 33V","USB"
"uClamp2011PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","20.00","10.00","3.00","35.00","22.00","22","27","13V - 33V",""
"uClamp2011ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","20.00","10.00","3.00","33.80","22.00","22","30","13V - 33V",""
"uClamp2011ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","20.00","50.00","30.00","29.00","22.00","30","30","13V - 33V","VBUS"
"uClamp2101T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","General purpose ESD protection","1","2.10","36.00","13.00","4.30","2.20","20","30","1V - 3.6V",""
"uClamp2221ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","22.00","58.00","14.00","36.00","22.40","30","30","13V - 33V","VBUS"
"uClamp2271P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","22.00","165.00","25.00","55.00","25.50","30","30","13V - 33V","VBUS"
"uClamp2401T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","General purpose ESD protection","1","24.00","27.00","3.00","50.00","27.00","30","30","13V - 33V",""
"uClamp2411PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","24.00","8.50","3.00","38.40","27.00","17","20","13V - 33V",""
"uClamp2411ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","24.00","9.00","3.00","45.00","27.00","17","20","13V - 33V",""
"uClamp2424PWQ","DFN2510-10","2.5 x 1.0 x 0.55","Array","Automotive","4","24.00","15.00","5.00","44.00","26.50","30","30","13V - 33V",""
"uClamp2461P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","24.00","165.00","23.00","65.00","27.00","30","30","13V - 33V","VBUS"
"uClamp2482PWQ","DFN1308-3","1.3 x 0.8 x 0.55","Array","Automotive","2","24.00","15.00","5.00","43.40","26.50","30","30","13V - 33V",""
"uClamp2501T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","General purpose ESD protection","1","2.50","14.00","5.00","7.50","2.70","15","20","1V - 3.6V",""
"uClamp2501ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","General purpose ESD protection","1","2.50","3.70","8.00","7.50","3.00","22","25","1V - 3.6V",""
"uClamp2511T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","General purpose ESD protection","1","2.50","6.00","5.00","8.00","2.70","15","20","1V - 3.6V",""
"uClamp2512T","DFN2010-8","2.0 x 1.0 x 0.4","Bidirectional","General purpose ESD protection","2","2.50","4.50","10.00","10.20","2.70","30","30","1V - 3.6V",""
"uClamp2522T","DFN2010-8","2.0 x 1.0 x 0.4","Array","General purpose ESD protection","4","2.50","5.40","16.00","7.00","3.50","30","30","1V - 3.6V",""
"uClamp2611ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","26.00","9.00","3.00","44.00","28.00","24","30","13V - 33V",""
"uClamp2671P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","26.00","155.00","23.00","65.00","29.00","30","30","13V - 33V","VBUS"
"uClamp2801T","DFN1006-2","1.0 x 0.6 x 0.4","Unidirectional","General purpose ESD protection","1","28.00","25.00","4.00","60.00","32.00","15","20","13V - 33V",""
"uClamp2804L","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","2.80","4.50","10.00","10.00","3.50","30","30","1V - 3.6V","Ethernet"
"uClamp3061P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","30.00","155.00","18.00","65.00","34.00","30","30","13V - 33V","VBUS"
"uClamp3301D","SOD323","2.72 x 1.37 x 1.17","Bidirectional","General purpose ESD protection","1","3.30","50.00","10.00","9.50","3.50","30","30","1V - 3.6V","Ethernet"
"uClamp3301H","SOD523","1.7 x 0.9 x 0.7","Bidirectional","General purpose ESD protection","1","3.30","14.00","5.00","8.00","3.50","30","30","1V - 3.6V",""
"uClamp3301P","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","3.30","14.00","5.00","8.00","3.50","15","20","1V - 3.6V",""
"uClamp3304A","SOT 89 (SOT 666)","1.7 x 1.7 x 0.6","Unidirectional","General purpose ESD protection","4","3.30","14.00","5.00","8.00","3.50","15","20","1V - 3.6V",""
"uClamp3305P","DFN1616-6","1.6 x 1.6 x 0.6","Unidirectional","General purpose ESD protection","5","3.30","7.50","5.00","8.00","3.50","15","20","1V - 3.6V",""
"uClamp3306P","DFN1616-6","1.6 x 1.6 x 0.6","Unidirectional","General purpose ESD protection","6","3.30","7.50","5.00","8.00","3.30","15","20","1V - 3.6V",""
"uClamp3311P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","3.30","10.00","5.00","18.00","3.50","20","25","1V - 3.6V",""
"uClamp3311PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","3.30","10.00","5.00","18.00","3.50","20","25","1V - 3.6V",""
"uClamp3311T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","General purpose ESD protection","1","3.30","5.00","5.00","8.00","3.50","30","30","1V - 3.6V",""
"uClamp3311Z2C","DFN0402-2","0.43 x 0.23 x 0.15","Bidirectional","General purpose ESD protection","1","3.30","3.30","4.00","7.00","3.68","20","25","1V - 3.6V",""
"uClamp3311ZV","DFN1006-2","1.0 x 0.6 x 0.25","Bidirectional","General purpose ESD protection","1","3.30","81.00","80.00","6.20","3.80","30","30","1V - 3.6V","VBUS"
"uClamp3312T","DFN2010-8","2.0 x 1.0 x 0.4","Bidirectional","General purpose ESD protection","2","3.30","5.00","10.00","11.00","3.50","30","30","1V - 3.6V",""
"uClamp3321ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","3.30","4.20","4.00","8.50","3.70","30","30","1V - 3.6V",""
"uClamp3324P","DFN2116-8","2.1 x 1.6 x 0.58","Unidirectional","General purpose ESD protection","4","3.30","14.00","5.00","8.00","3.50","15","20","1V - 3.6V",""
"uClamp3331ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","3.30","16.50","5.00","10.00","3.90","30","30","1V - 3.6V",""
"uClamp3341ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","3.30","9.20","10.00","5.00","3.65","30","30","1V - 3.6V",""
"uClamp3351ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","3.30","5.00","6.00","5.00","3.80","20","30","1V - 3.6V",""
"uClamp3381P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","3.30","30.00","25.00","11.50","4.50","30","30","1V - 3.6V","VBUS"
"uClamp3601P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","33.00","25.00","2.00","60.00","36.00","15","20","13V - 33V",""
"uClamp3603T","DFN1710-6","1.7 x 1.0 x 0.4","Unidirectional","General purpose ESD protection","3","36.00","25.00","3.00","75.00","37.00","15","20","36V - 58V",""
"uClamp3612S","SOT23-3","3.0 x 2.5 x 1.1","Unidirectional","General purpose ESD protection","2","33.00","108.00","16.00","62.00","36.00","30","30","13V - 33V","VBUS"
"uClamp3661P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","36.00","150.00","18.00","70.00","37.00","30","30","36V - 58V","VBUS"
"uClamp3671P","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","36.00","150.00","18.00","80.00","37.00","30","30","36V - 58V","VBUS"
"uClamp3673P","DFN3016-6","3.0 x 1.6 x 0.57","Unidirectional","General purpose ESD protection","3","36.00","106.00","18.00","70.00","37.00","30","30","36V - 58V",""
"uClamp4014P","DFN2510-10","2.5 x 1.0 x 0.6","Array","General purpose ESD protection","4","40.00","5.00","3.00","75.00","42.00","18","20","36V - 58V",""
"uClamp4024P","DFN2510-10","2.5 x 1.0 x 0.55","Array","General purpose ESD protection","4","40.00","11.00","5.00","75.00","42.00","30","30","36V - 58V",""
"uClamp4061P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","40.00","125.00","12.00","80.00","45.00","30","30","36V - 58V","VBUS"
"uClamp5011Z2C","DFN0402-2","0.43 x 0.23 x 0.15","Bidirectional","General purpose ESD protection","1","5.00","3.50","2.00","12.00","6.50","15","15","4V - 5.5V",""
"uClamp5011ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","5.00","4.20","2.50","12.00","6.50","15","18","4V - 5.5V",""
"uClamp5031PW","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","5.00","10.90","7.50","9.20","6.00","30","30","4V - 5.5V",""
"uClamp5031Z2C","DFN0402-2","0.43 x 0.23 x 0.15","Bidirectional","General purpose ESD protection","1","5.00","4.50","2.50","11.00","6.00","15","18","4V - 5.5V",""
"uClamp5031ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","General purpose ESD protection","1","5.00","10.50","7.50","11.00","6.00","30","30","4V - 5.5V",""
"uClamp5041Z2C","DFN0402-2","0.43 x 0.23 x 0.15","Bidirectional","General purpose ESD protection","1","5.00","11.80","5.00","9.00","6.00","30","30","4V - 5.5V",""
"uClamp5501ZV","DFN1006-2","1.0 x 0.6 x 0.25","Unidirectional","General purpose ESD protection","1","5.50","445.00","60.00","8.80","5.80","30","30","4V - 5.5V","VBUS"
"uClamp5581P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","5.50","40.00","20.00","11.50","6.00","20","20","4V - 5.5V","VBUS"
"uClamp5612T","DFN1508-5","1.5 x 0.8 x 0.4","Array","General purpose ESD protection","2","5.00","50.00","10.00","12.50","6.50","30","30","4V - 5.5V",""
"uClamp6061P","DFN1608-2","1.6 x 0.8 x 0.5","Unidirectional","General purpose ESD protection","1","60.00","110.00","8.00","105.00","65.00","30","30","60V+","VBUS"
"uClamp6511T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","General purpose ESD protection","1","60.00","8.40","2.00","105.00","65.00","10","15","60V+",""
"uClamp6514P","DFN2510-10","1.6 x 1.6 x 0.58","Array","General purpose ESD protection","4","60.00","8.50","2.00","105.00","65.00","8","17","60V+",""
"uClamp6524P","DFN2510-10","2.5 x 1.0 x 0.55","Array","General purpose ESD protection","4","60.00","8.00","4.00","105.00","65.00","30","30","60V+",""
