Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp0522P","DFN1610-6","1.6 x 1.0 x 0.58","Unidirectional","Low capacitance","2","5.00","0.30","5.00","26.00","6.00","12","17","4V - 5.5V","HDMI, USB"
"RClamp0524PA","DFN2510-10","2.5 x 1.0 x 0.58","Array","Low capacitance","4","5.00","0.30","5.00","15.00","6.00","12","17","4V - 5.5V","HDMI"
"RClamp0524PB","DFN2510-10","2.5 x 1.0 x 0.58","Array","Low capacitance","4","5.00","0.30","7.00","13.90","6.00","12","17","4V - 5.5V","HDMI"
"RClamp0524PQ","DFN2510-10","2.5 x 1.0 x 0.58","Array","Automotive","4","5.00","0.50","5.00","15.00","6.50","15","25","4V - 5.5V",""
"RClamp0524S","SOT23-6","2.9 x 2.8 x 1.45","Array","Low capacitance","4","5.00","5.00","6.00","24.00","6.00","8","15","4V - 5.5V",""
"RClamp0524T","DFN2510-10","2.5 x 1.0 x 0.4","Array","Low capacitance","4","5.00","0.30","5.00","29.00","6.00","12","17","4V - 5.5V","HDMI, USB"
"RClamp0531T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Low capacitance","1","5.00","0.50","4.00","20.00","6.00","12","20","4V - 5.5V",""
"RClamp0531TQ","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Automotive","1","5.00","0.85","4.00","20.00","6.00","12","20","4V - 5.5V",""
"RClamp0532T","DFN1610-4","1.6 x 1.0 x 0.4","Array","Low capacitance","2","5.00","1.20","10.00","10.00","6.50","30","30","4V - 5.5V","Ethernet"
"RClamp0534N","DFN3020-10","3.0 x 2.0 x 0.6","Array","Low capacitance","4","5.00","1.50","25.00","15.00","6.00","30","30","4V - 5.5V","Ethernet"
"RClamp0534PWQ","DFN2510-10","2.5 x 1.0 x 0.55","Array","Automotive","4","5.00","0.14","4.00","5.50","5.50","10","15","4V - 5.5V","Automotive High Speed, HDMI"
"RClamp0542T","DFN1610-4","1.6 x 1.0 x 0.4","Array","Low capacitance","2","5.00","0.25","5.00","15.00","6.50","12","18","4V - 5.5V","Ethernet"
"RClamp0542ZA","DFN0603-3","0.6 x 0.3 x 0.25","Array","Low capacitance","2","5.00","0.27","2.00","20.00","6.50","12","17","4V - 5.5V","HDMI, USB"
"RClamp0544M","MSOP 10L","4.9 x 3.1 x 1.1","Array","Low capacitance","4","5.00","0.30","5.00","20.00","6.00","12","18","4V - 5.5V",""
"RClamp0544P","DFN2510-10","2.5 x 1.0 x 0.55","Array","Low capacitance","4","5.00","0.19","6.50","4.30","5.50","8","20","4V - 5.5V","HDMI, USB"
"RClamp0544T","DFN2010-10","2.0 x 1.0 x 0.4","Array","Low capacitance","4","5.00","0.30","5.00","15.00","6.50","12","18","4V - 5.5V","HDMI"
"RClamp0551P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","5.00","0.25","3.00","20.00","6.00","17","17","4V - 5.5V","HDMI, USB"
"RClamp0551PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","5.00","0.45","3.00","15.00","6.00","25","25","4V - 5.5V","Automotive High Speed"
"RClamp0552T","DFN1006-3","1.0 x 0.6 x 0.4","Array","Low capacitance","2","5.00","0.21","3.00","20.00","6.50","17","17","4V - 5.5V","USB"
"RClamp0554S","SOT23-6","2.9 x 2.8 x 1.45","Array","Low capacitance","4","5.00","3.00","25.00","15.00","6.00","25","30","4V - 5.5V","Ethernet"
"RClamp0554T","DFN2510-10","2.0 x 1.0 x 0.4","Array","Low capacitance","4","5.00","0.28","5.00","11.00","6.50","18","24","4V - 5.5V","HDMI"
"RClamp0561PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","5.50","0.14","2.00","20.00","6.50","15","18","4V - 5.5V","Antenna, Automotive High Speed"
"RClamp0561Z","DFN0603-2","0.62 x 0.32 x 0.30","Bidirectional","Low capacitance","1","5.50","0.12","2.50","16.50","6.50","12","15","4V - 5.5V","Antenna, USB"
"RClamp0564P","DFN2010-5","2.0 x 1.0 x 0.5","Array","Low capacitance","4","5.00","0.17","3.00","4.00","6.50","10","15","4V - 5.5V","HDMI, USB"
"RClamp0572ZC","DFN0603-3","0.6 x 0.3 x 0.25","Array","Low capacitance","2","5.00","0.22","3.00","12.00","7.00","10","15","4V - 5.5V","USB"
"RClamp0574P","DFN2010-5","2.0 x 1.0 x 0.5","Array","Low capacitance","4","5.50","0.18","5.00","4.70","6.50","10","15","4V - 5.5V","HDMI"
"RClamp0582B","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Array","Low capacitance","2","5.00","0.50","15.00","20.00","6.00","25","30","4V - 5.5V",""
"RClamp0582BQ","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Array","Automotive","2","5.00","0.50","15.00","20.00","6.00","25","30","4V - 5.5V","Automotive Ethernet, USB"
"RClamp0582N","DFN1210-6","1.2 x 1.0 x 0.58","Array","Low capacitance","2","6.50","0.20","5.00","25.00","7.00","12","20","6V - 12V","USB"
"RClamp0582NQ","DFN1210-6","1.2 x 1.0 x 0.58","Array","Automotive","3","6.50","0.30","5.00","25.00","7.00","12","20","6V - 12V","USB"
"RClamp0584J","DFN2710-10","2.7 x 1.0 x 0.58","Array","Low capacitance","4","5.00","0.25","5.00","15.00","6.50","12","18","4V - 5.5V","HDMI"
"RClamp0584P","DFN2510-10","2.5 x 1.0 x 0.55","Bidirectional","Low capacitance","4","5.50","0.17","5.00","5.50","5.50","10","15","4V - 5.5V","HDMI"
