Part,Manufacturer,Package,Vrwm,Vclamp,Capacitance,Channels,Direction,Grade,Type,Ipp,IEC42_kV,IEC45_A
ESDAXLC6-1BT2Y,STMicroelectronics,SOD-882,3,,0.4,,Bidirectional,Automotive,TVS/ESD,,16,
ESDL20-1BF4,STMicroelectronics,ST0201,20,36,13,,Bidirectional,Commercial,TVS/ESD,,20,
ESDV5-1BF4,STMicroelectronics,ST0201,5.5,18,5,,Bidirectional,Commercial,TVS/ESD,,12,
ESDZV18-1BF4,STMicroelectronics,ST0201,16,21.5,3,,Bidirectional,Commercial,TVS/ESD,,30,
ESDXLC6-1BT2Y,STMicroelectronics,SOD-882,3,,0.3,,Bidirectional,Commercial,TVS/ESD,,20,
BZA408B,Nexperia,TSOP6,5.0,,,4.0,Bidirectional,Commercial,TVS/ESD,,15.0,
BZA420A,Nexperia,TSOP6,15.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA456A,Nexperia,TSOP6,3.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA462A,Nexperia,TSOP6,4.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,15.0,
BZA856A,Nexperia,TSSOP5,3.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA856AVL,Nexperia,TSSOP5,3.3,,22.0,4.0,Unidirectional,Commercial,TVS/ESD,,15.0,
BZA862A,Nexperia,TSSOP5,4.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA956A,Nexperia,SOT665,3.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA962A,Nexperia,SOT665,4.0,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
BZA962AVL,Nexperia,SOT665,5.0,,18.0,4.0,Unidirectional,Commercial,TVS/ESD,,15.0,
BZA968A,Nexperia,SOT665,4.3,,,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
IP4220CZ6,Nexperia,TSOP6,5.5,,1.0,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
IP4234CZ6,Nexperia,TSOP6,5.5,,3.1,2.0,,Commercial,TVS/ESD,,15.0,
IP4283CZ10-TBA,Nexperia,DFN2510-10,5.5,,0.26,4.0,Unidirectional,Commercial,TVS/ESD,,8.0,
IP4283CZ10-TBR,Nexperia,DFN2510A-10,5.5,,0.6,4.0,Unidirectional,Commercial,TVS/ESD,3.0,8.0,
IP4294CZ10-TBR,Nexperia,DFN2510A-10,3.0,,0.5,4.0,,Commercial,TVS/ESD,4.0,10.0,
IP4369CX4,Nexperia,WLCSP4,5.5,,0.8,2.0,Unidirectional,Commercial,TVS/ESD,,8.0,
MMBZ5V6A-T,Nexperia,SOT23,3.0,,200.0,2.0,Unidirectional,Commercial,TVS/ESD,18.0,30.0,
MMBZ5V6AL,Nexperia,SOT23,3.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ5V6AT-Q,Nexperia,SOT23,3.0,,200.0,2.0,Unidirectional,Automotive,TVS/ESD,18.0,30.0,
MMBZ6V2A-T,Nexperia,SOT23,3.0,,88.0,2.0,Unidirectional,Commercial,TVS/ESD,8.8,30.0,
MMBZ6V2AL,Nexperia,SOT23,3.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ6V2AL-Q,Nexperia,SOT23,3.0,,175.0,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ6V2AT-Q,Nexperia,SOT23,3.0,,88.0,2.0,Unidirectional,Automotive,TVS/ESD,8.8,30.0,
MMBZ6V8A-T,Nexperia,SOT23,4.5,,150.0,2.0,Unidirectional,Commercial,TVS/ESD,15.0,30.0,
MMBZ6V8AL,Nexperia,SOT23,4.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ6V8AT-Q,Nexperia,SOT23,4.5,,150.0,2.0,Unidirectional,Automotive,TVS/ESD,15.0,30.0,
MMBZ9V1A-T,Nexperia,SOT23,6.0,,60.0,2.0,Unidirectional,Commercial,TVS/ESD,10.5,30.0,
MMBZ9V1AL,Nexperia,SOT23,6.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ9V1AT-Q,Nexperia,SOT23,6.0,,60.0,2.0,Unidirectional,Automotive,TVS/ESD,10.5,30.0,
MMBZ10VA-T,Nexperia,SOT23,6.5,,55.0,2.0,Unidirectional,Commercial,TVS/ESD,8.0,30.0,
MMBZ10VAL,Nexperia,SOT23,6.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ10VAL-Q,Nexperia,SOT23,6.5,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ10VAT-Q,Nexperia,SOT23,6.5,,55.0,2.0,Unidirectional,Automotive,TVS/ESD,8.0,30.0,
MMBZ12VA-T,Nexperia,SOT23,8.5,,45.0,2.0,Unidirectional,Commercial,TVS/ESD,7.0,30.0,
MMBZ12VAL,Nexperia,SOT23,8.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ12VAL-Q,Nexperia,SOT23,8.5,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ12VAT-Q,Nexperia,SOT23,8.5,,45.0,2.0,Unidirectional,Automotive,TVS/ESD,7.0,30.0,
MMBZ12VDL,Nexperia,SOT23,8.5,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ15VA-T,Nexperia,SOT23,,,,,,Commercial,TVS/ESD,,,
MMBZ15VAL,Nexperia,SOT23,12.0,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ15VAL-Q,Nexperia,SOT23,12.0,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ15VAT-Q,Nexperia,SOT23,12.0,,36.0,2.0,Unidirectional,Automotive,TVS/ESD,6.0,30.0,
MMBZ15VC-T,Nexperia,SOT23,12.0,,36.0,2.0,Unidirectional,Commercial,TVS/ESD,6.0,30.0,
MMBZ15VCT-Q,Nexperia,SOT23,12.0,,36.0,2.0,Unidirectional,Automotive,TVS/ESD,6.0,30.0,
MMBZ15VDL,Nexperia,SOT23,12.8,,,2.0,Unidirectional,Commercial,TVS/ESD,,30.0,
MMBZ15VDL-Q,Nexperia,SOT23,12.8,,,2.0,Unidirectional,Automotive,TVS/ESD,,30.0,
MMBZ16VA-T,Nexperia,SOT23,13.0,,30.0,2.0,Unidirectional,Commercial,TVS/ESD,4.8,30.0,
MMBZ16VAL,Nexperia,SOT23,13.0,,76.0,2.0,Unidirectional,Commercial,TVS/ESD,11.0,30.0,
MMBZ16VAL-Q,Nexperia,SOT23,13.0,,76.0,2.0,Unidirectional,Automotive,TVS/ESD,11.0,30.0,
MMBZ16VAT-Q,Nexperia,SOT23,13.0,,30.0,2.0,Unidirectional,Automotive,TVS/ESD,4.8,30.0,
